10 Aug 2020 | 21:05:32,847 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: HANDSHAKE and data: [97ef6628-dcef-455a-b8d0-1ee29f85bdf2, , JAVA, 1.0.0, false, ]
10 Aug 2020 | 21:05:33,267 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: HANDSHAKE and data: [, a50a1618c06721978f49832da3b1807769aa4f2ef295c942443293584749b830, 1]
10 Aug 2020 | 21:05:33,273 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: LOGIN and data: [rpc, admin, admin, null]
10 Aug 2020 | 21:05:33,309 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: LOGIN and data: [1, rpc, 1, admin, null]
10 Aug 2020 | 21:05:33,324 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: APP_ACCESS and data: [rpc, null]
10 Aug 2020 | 21:05:33,332 | DEBUG | qkrpc-client-default-socket-loop | rpc.client.QuickRpcClient$3 |     | user: User(id: 1, name: admin) logged in successfully
10 Aug 2020 | 21:05:33,337 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: APP_ACCESS and data: [1, rpc, []]
10 Aug 2020 | 21:05:33,341 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: APP_REQUEST and data: [1, [$c, com.tvd12.ezyfox.entity.EzyEmptyArray@27577f56]]
10 Aug 2020 | 21:05:33,379 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: APP_REQUEST and data: [1, [$c, null]]
10 Aug 2020 | 21:06:41,885 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetRequest
10 Aug 2020 | 21:06:41,907 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field who
10 Aug 2020 | 21:06:41,909 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetRequest
10 Aug 2020 | 21:06:42,043 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.quick.rpc.client.test.data.GreetRequest$EzyObjectWriter$EzyAutoImpl$1 has generated
10 Aug 2020 | 21:06:42,050 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,050 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field message
10 Aug 2020 | 21:06:42,050 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,055 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.quick.rpc.client.test.data.GreetResponse$EzyObjectWriter$EzyAutoImpl$2 has generated
10 Aug 2020 | 21:06:42,062 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,063 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field message
10 Aug 2020 | 21:06:42,065 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,074 | DEBUG | main | binding.impl.EzyObjectReaderBuilder |     | class com.tvd12.quick.rpc.client.test.data.GreetResponse$EzyObjectReader$EzyAutoImpl$1 has generated
10 Aug 2020 | 21:06:42,076 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,077 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | scan field message
10 Aug 2020 | 21:06:42,077 | DEBUG | main | binding.impl.EzyObjectReaderElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:06:42,082 | DEBUG | main | binding.impl.EzyObjectUnwrapperBuilder |     | class com.tvd12.quick.rpc.client.test.data.GreetResponse$EzyObjectUnwrapper$EzyAutoImpl$1 has generated
10 Aug 2020 | 21:06:42,399 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: HANDSHAKE and data: [c0206785-cebe-4c38-a0b2-502efe745c5a, , JAVA, 1.0.0, false, ]
10 Aug 2020 | 21:06:42,431 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: HANDSHAKE and data: [, f9fe09851ef801cc0b78ddfaddae05290258c3361a395fff28a5810fb483163b, 2]
10 Aug 2020 | 21:06:42,435 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: LOGIN and data: [rpc, admin, admin, null]
10 Aug 2020 | 21:06:42,442 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: LOGIN and data: [1, rpc, 2, admin, null]
10 Aug 2020 | 21:06:42,452 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: APP_ACCESS and data: [rpc, null]
10 Aug 2020 | 21:06:42,452 | DEBUG | qkrpc-client-default-socket-loop | rpc.client.QuickRpcClient$3 |     | user: User(id: 2, name: admin) logged in successfully
10 Aug 2020 | 21:06:42,459 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: APP_ACCESS and data: [1, rpc, []]
10 Aug 2020 | 21:06:42,462 | DEBUG | qkrpc-client-default-socket-loop | ezyfoxserver.client.EzyTcpClient |     | send command: APP_REQUEST and data: [1, [$c, com.tvd12.ezyfox.entity.EzyEmptyArray@61919ae1]]
10 Aug 2020 | 21:06:42,470 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: APP_REQUEST and data: [1, [$c, null]]
10 Aug 2020 | 21:06:42,560 | DEBUG | main | ezyfoxserver.client.EzyTcpClient |     | send command: APP_REQUEST and data: [1, [$r, [Greet, 1, {who=Dzung}]]]
10 Aug 2020 | 21:06:42,573 | DEBUG | qkrpc-client-default-socket-loop | client.socket.EzyTcpSocketClient |     | received command: APP_REQUEST and data: [1, [$r, [Greet, 1, {message=Greet Dzung!}]]]
10 Aug 2020 | 21:07:38,115 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetRequest
10 Aug 2020 | 21:07:38,135 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field who
10 Aug 2020 | 21:07:38,137 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetRequest
10 Aug 2020 | 21:07:38,266 | DEBUG | main | binding.impl.EzyObjectWriterBuilder |     | class com.tvd12.quick.rpc.client.test.data.GreetRequest$EzyObjectWriter$EzyAutoImpl$1 has generated
10 Aug 2020 | 21:07:38,269 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | start scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
10 Aug 2020 | 21:07:38,270 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | scan field message
10 Aug 2020 | 21:07:38,270 | DEBUG | main | binding.impl.EzyObjectWriterElementsFetcher |     | finish scan class com.tvd12.quick.rpc.client.test.data.GreetResponse
